2026-03-04 17:25:06,740 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-04 17:25:08,272 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:25:08,272 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 17:25:08,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:25:08,308 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 17:25:08,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:25:08,319 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 17:25:08,332 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:25:08,333 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 17:25:08,340 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 17:25:08,340 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:08,350 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:08,350 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:08,358 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:08,358 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 17:25:08,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 17:25:08,368 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:25:08,376 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 17:25:08,377 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:08,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:08,387 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:08,395 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:08,395 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 17:25:08,404 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 17:25:08,404 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:25:08,411 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 17:25:08,411 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:08,420 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:08,420 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:08,428 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:08,428 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 17:25:08,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 17:25:08,436 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:25:08,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:25:08,444 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 17:25:08,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
