2026-03-04 17:28:51,129 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 17:28:52,508 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:28:52,508 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:28:52,554 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:28:52,554 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 17:28:52,581 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:28:52,581 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:28:52,610 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 17:28:52,610 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 17:28:52,674 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:28:52,674 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 17:28:52,804 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:28:52,804 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
