2026-03-04 17:28:53,121 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 17:28:54,180 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:28:54,181 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:28:54,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:28:54,217 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 17:28:54,234 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:28:54,234 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:28:54,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 17:28:54,250 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 17:28:54,511 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:28:55,940 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-04 17:28:55,940 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:28:55,976 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 17:28:55,977 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:55,988 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 17:28:55,988 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-04 17:28:55,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 17:28:55,999 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 17:28:56,005 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 17:28:56,005 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 17:28:56,010 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 17:28:56,010 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-04 17:28:56,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 17:28:56,016 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-04 17:28:56,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 17:28:56,021 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-04 17:28:56,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-04 17:28:56,027 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-04 17:28:56,032 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-04 17:28:56,032 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
