2026-03-04 17:31:19,508 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 17:31:21,245 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 17:31:21,246 | INPUT | INFO | Fill input "Email" to value "  "
2026-03-04 17:31:21,306 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-03-04 17:31:21,307 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 17:31:21,307 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:31:21,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 17:31:21,385 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 17:31:21,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:31:21,516 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 17:31:21,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:31:21,547 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
