2026-03-04 17:28:55,088 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:28:56,462 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:28:56,463 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-04 17:28:56,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:28:56,532 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-04 17:28:56,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:28:56,553 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-04 17:28:56,642 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:28:56,642 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-04 17:28:56,658 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-04 17:28:56,658 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:28:56,730 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-04 17:28:56,730 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:28:56,746 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:28:56,746 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-04 17:28:56,785 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:28:56,785 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-04 17:28:56,802 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:28:56,803 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-04 17:28:56,833 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:28:56,833 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-04 17:28:56,844 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 17:28:56,844 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 17:28:56,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:28:56,899 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 17:28:57,036 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 17:28:57,039 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 17:28:57,093 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:28:57,093 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:57,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:28:57,107 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-04 17:28:57,131 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:28:57,132 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 17:28:57,147 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:28:57,148 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-04 17:28:57,160 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:28:57,161 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 17:28:57,172 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:28:57,172 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-03-04 17:28:57,182 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:28:57,182 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 17:28:57,192 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:28:57,192 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-03-04 17:28:57,203 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2026-03-04 17:28:57,203 | BASE_ELEMENT | INFO | Clicking button "Menu"
2026-03-04 17:28:57,271 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-04 17:28:57,272 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2026-03-04 17:28:57,282 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-04 17:28:57,282 | BASE_ELEMENT | INFO | Clicking button "Edit"
2026-03-04 17:28:57,574 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:28:57,574 | INPUT | INFO | Fill input "Course title" to value "Playwright 2.0"
2026-03-04 17:28:57,598 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:28:57,598 | INPUT | INFO | Checking that input "Course title" has a value "Playwright 2.0"
2026-03-04 17:28:57,608 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:28:57,608 | INPUT | INFO | Fill input "Estimated time" to value "1 weeks"
2026-03-04 17:28:57,634 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:28:57,635 | INPUT | INFO | Checking that input "Estimated time" has a value "1 weeks"
2026-03-04 17:28:57,647 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright 2.0"
2026-03-04 17:28:57,647 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:28:57,703 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-04 17:28:57,704 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:28:57,715 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:28:57,715 | INPUT | INFO | Fill input "Max score" to value "150"
