2026-03-04 17:31:21,998 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 17:31:23,413 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 17:31:23,413 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:31:23,488 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 17:31:23,488 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-04 17:31:23,560 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 17:31:23,560 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 17:31:23,725 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:31:23,725 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 17:31:23,742 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:31:23,742 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
