2026-03-04 17:28:57,245 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-04 17:28:58,825 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:28:58,825 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 17:28:58,860 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:28:58,860 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 17:28:58,874 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:28:58,874 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 17:28:58,883 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:28:58,883 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 17:28:58,892 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 17:28:58,892 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:28:58,902 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:58,902 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:58,912 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:58,912 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 17:28:58,921 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 17:28:58,921 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:28:58,929 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 17:28:58,929 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:28:58,938 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:58,939 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:58,947 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:58,947 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 17:28:58,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 17:28:58,957 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:28:58,966 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 17:28:58,966 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:28:58,974 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:58,974 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:58,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:58,982 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 17:28:58,992 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 17:28:58,992 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:28:59,000 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:28:59,000 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 17:28:59,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:28:59,010 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-04 17:28:59,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-04 17:28:59,019 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:59,028 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-04 17:28:59,028 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 17:28:59,036 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-03-04 17:28:59,036 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-04 17:28:59,045 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-04 17:28:59,046 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:59,054 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-04 17:28:59,054 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-03-04 17:28:59,061 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-03-04 17:28:59,061 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-04 17:28:59,070 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-04 17:28:59,070 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:28:59,077 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-04 17:28:59,077 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
