2026-03-04 17:25:02,614 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 17:25:03,652 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:25:03,652 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:25:03,697 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:25:03,697 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 17:25:03,713 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:25:03,713 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:25:03,730 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 17:25:03,730 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 17:25:03,939 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:25:05,413 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-04 17:25:05,413 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:25:05,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 17:25:05,436 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:05,442 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 17:25:05,443 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-04 17:25:05,449 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 17:25:05,449 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 17:25:05,454 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 17:25:05,454 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 17:25:05,459 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 17:25:05,459 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-04 17:25:05,465 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 17:25:05,465 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-04 17:25:05,471 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 17:25:05,471 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-04 17:25:05,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-04 17:25:05,477 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-04 17:25:05,482 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-04 17:25:05,482 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:05,487 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 17:25:05,487 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:05,492 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 17:25:05,492 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-04 17:25:05,497 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 17:25:05,497 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-04 17:25:05,502 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 17:25:05,502 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2026-03-04 17:25:05,507 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:25:05,507 | BASE_ELEMENT | INFO | Checking that input "Course title" is visible
2026-03-04 17:25:05,513 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:25:05,513 | INPUT | INFO | Checking that input "Course title" has a value ""
