2026-03-04 17:28:47,756 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 17:28:49,181 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:28:49,182 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:28:49,251 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:28:49,251 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 17:28:49,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:28:49,296 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:28:49,404 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 17:28:49,404 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 17:28:49,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:28:49,535 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 17:28:49,811 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 17:28:49,811 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-04 17:28:49,835 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:28:49,835 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 17:28:49,865 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:28:49,866 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 17:28:49,893 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:28:49,893 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 17:28:49,910 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:28:49,910 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 17:28:49,929 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 17:28:49,930 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:28:49,955 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:28:49,955 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
