2026-03-04 17:31:29,724 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:31:32,841 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:31:32,841 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-04 17:31:32,900 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:31:32,900 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-04 17:31:32,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:31:32,923 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-04 17:31:33,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:31:33,012 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-04 17:31:33,041 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-04 17:31:33,041 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:31:33,103 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-04 17:31:33,103 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:31:33,126 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:31:33,126 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-04 17:31:33,193 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:31:33,193 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-04 17:31:33,212 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:31:33,212 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-04 17:31:33,277 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:31:33,278 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-04 17:31:33,308 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 17:31:33,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 17:31:33,346 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:31:33,346 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 17:31:33,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 17:31:33,500 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 17:31:33,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:31:33,558 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:31:33,570 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:31:33,570 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-04 17:31:33,608 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:31:33,608 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 17:31:33,626 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:31:33,626 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-04 17:31:33,641 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:31:33,642 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 17:31:33,654 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
