2026-03-04 17:25:01,122 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 17:25:02,174 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:25:02,174 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:25:02,233 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:25:02,233 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 17:25:02,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:25:02,266 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:25:02,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 17:25:02,296 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 17:25:02,672 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-03-04 17:25:03,996 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:25:03,996 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 17:25:04,023 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 17:25:04,023 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 17:25:04,036 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:25:04,037 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 17:25:04,046 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 17:25:04,047 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 17:25:04,057 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 17:25:04,057 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:04,068 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:04,068 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:04,074 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:04,074 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 17:25:04,082 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 17:25:04,082 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:25:04,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 17:25:04,090 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:04,096 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:04,096 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:04,102 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:04,102 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 17:25:04,108 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 17:25:04,108 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:25:04,114 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 17:25:04,114 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 17:25:04,120 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:04,120 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:04,126 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 17:25:04,126 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 17:25:04,131 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 17:25:04,131 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 17:25:04,137 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-03-04 17:25:04,137 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:04,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-03-04 17:25:04,143 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
