2026-03-04 17:28:47,677 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 17:28:49,148 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 17:28:49,148 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:28:49,201 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 17:28:49,201 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-04 17:28:49,252 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 17:28:49,253 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 17:28:49,448 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:28:49,448 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 17:28:49,464 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:28:49,465 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
