2026-03-04 17:24:54,896 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 17:24:56,528 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 17:24:56,528 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:24:56,600 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 17:24:56,600 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:24:56,676 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 17:24:56,681 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 17:24:56,816 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:24:56,816 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 17:24:56,837 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 17:24:56,837 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
