2026-03-04 17:25:04,442 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:25:05,776 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:25:05,776 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-04 17:25:05,846 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:25:05,846 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-04 17:25:05,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:25:05,858 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-04 17:25:05,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:25:05,957 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-04 17:25:05,978 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-04 17:25:05,979 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:25:06,044 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-04 17:25:06,044 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:25:06,057 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:25:06,057 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-04 17:25:06,105 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:25:06,106 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-04 17:25:06,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:25:06,135 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-04 17:25:06,188 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:25:06,188 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-04 17:25:06,209 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 17:25:06,209 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 17:25:06,264 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:25:06,264 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 17:25:06,384 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 17:25:06,385 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 17:25:06,420 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:25:06,420 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:06,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:25:06,432 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-04 17:25:06,449 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:25:06,449 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 17:25:06,459 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:25:06,459 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-04 17:25:06,470 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:25:06,470 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 17:25:06,478 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:25:06,478 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-03-04 17:25:06,486 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:25:06,486 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 17:25:06,496 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:25:06,497 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-03-04 17:25:06,523 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2026-03-04 17:25:06,523 | BASE_ELEMENT | INFO | Clicking button "Menu"
2026-03-04 17:25:06,619 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-04 17:25:06,620 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2026-03-04 17:25:06,648 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-04 17:25:06,648 | BASE_ELEMENT | INFO | Clicking button "Edit"
2026-03-04 17:25:06,956 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:25:06,957 | INPUT | INFO | Fill input "Course title" to value "Playwright 2.0"
2026-03-04 17:25:06,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 17:25:06,982 | INPUT | INFO | Checking that input "Course title" has a value "Playwright 2.0"
2026-03-04 17:25:06,990 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
