2026-03-04 17:31:25,460 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 17:31:26,883 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-04 17:31:26,883 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-04 17:31:26,947 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-04 17:31:26,960 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:31:26,960 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-04 17:31:26,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:31:26,975 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-04 17:31:26,985 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:31:26,985 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-04 17:31:26,993 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:31:26,994 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-04 17:31:26,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:31:27,000 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-04 17:31:27,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:31:27,006 | INPUT | INFO | Checking that input "Password" has a value ""
