2026-03-04 17:31:27,185 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 17:31:28,215 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 17:31:28,215 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 17:31:28,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 17:31:28,257 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 17:31:28,275 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 17:31:28,276 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 17:31:28,294 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 17:31:28,294 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 17:31:28,718 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:31:30,277 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-04 17:31:30,277 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:31:30,303 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 17:31:30,303 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:31:30,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 17:31:30,310 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-04 17:31:30,317 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 17:31:30,317 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 17:31:30,324 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 17:31:30,324 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 17:31:30,331 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 17:31:30,331 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-04 17:31:30,338 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 17:31:30,338 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-04 17:31:30,345 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 17:31:30,345 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-04 17:31:30,353 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-04 17:31:30,353 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
