2026-03-10 16:06:45,054 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:06:46,481 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-10 16:06:46,481 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:06:46,533 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-10 16:06:46,534 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-10 16:06:46,581 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-10 16:06:46,581 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-10 16:06:46,742 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:06:46,743 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-10 16:06:46,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:06:46,760 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
