2026-03-10 16:06:48,971 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:06:50,041 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:06:50,041 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:06:50,109 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:06:50,109 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:06:50,139 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:06:50,139 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:06:50,170 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:06:50,170 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:06:50,638 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-03-10 16:06:52,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:06:52,002 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:06:52,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:06:52,031 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:06:52,040 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:06:52,040 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:06:52,049 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:06:52,050 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:06:52,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:06:52,066 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:06:52,077 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:52,077 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:52,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:52,086 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-10 16:06:52,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-10 16:06:52,097 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:06:52,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-10 16:06:52,107 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:06:52,116 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:52,116 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:52,124 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:52,124 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
