2026-03-10 16:06:42,727 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:06:44,339 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-10 16:06:44,339 | INPUT | INFO | Fill input "Email" to value "  "
2026-03-10 16:06:44,418 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-10 16:06:44,418 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:06:44,527 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-10 16:06:44,527 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-10 16:06:44,655 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:06:44,656 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-10 16:06:44,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:06:44,683 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
