2026-03-10 16:06:48,494 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:06:49,915 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:06:49,915 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:06:49,958 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:06:49,959 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:06:49,991 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:06:49,991 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:06:50,022 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:06:50,023 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:06:50,096 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:06:50,097 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-10 16:06:50,281 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:06:50,281 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
