2026-03-10 16:06:55,218 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-10 16:06:56,746 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:06:56,746 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:06:56,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:06:56,786 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:06:56,799 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:06:56,799 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:06:56,808 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:06:56,808 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:06:56,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:06:56,817 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:06:56,830 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:56,830 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:56,840 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:56,840 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-10 16:06:56,849 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-10 16:06:56,850 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:06:56,859 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-10 16:06:56,859 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:06:56,868 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:56,868 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:56,879 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:56,879 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-10 16:06:56,887 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-10 16:06:56,888 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:06:56,897 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-10 16:06:56,897 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:06:56,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:56,907 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:56,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-10 16:06:56,919 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-10 16:06:56,928 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-10 16:06:56,928 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:06:56,936 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:06:56,936 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-10 16:06:56,945 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:06:56,945 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-10 16:06:56,954 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-10 16:06:56,954 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:56,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-10 16:06:56,963 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-10 16:06:56,971 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-03-10 16:06:56,971 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-10 16:06:56,980 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-10 16:06:56,980 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:56,987 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-10 16:06:56,987 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-03-10 16:06:56,996 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-03-10 16:06:56,996 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-10 16:06:57,003 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-10 16:06:57,003 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:57,010 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-10 16:06:57,010 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
