2026-03-10 16:06:47,127 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:06:48,593 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-10 16:06:48,593 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-10 16:06:48,660 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-10 16:06:48,684 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:06:48,684 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-10 16:06:48,698 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:06:48,699 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-10 16:06:48,708 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:06:48,708 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-10 16:06:48,716 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:06:48,716 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-10 16:06:48,724 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:06:48,724 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-10 16:06:48,733 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:06:48,733 | INPUT | INFO | Checking that input "Password" has a value ""
