2026-03-10 16:06:50,646 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:06:51,680 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:06:51,680 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:06:51,721 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:06:51,721 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:06:51,738 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:06:51,738 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:06:51,753 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:06:51,753 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:06:51,992 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:06:53,653 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-10 16:06:53,653 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:06:53,677 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:06:53,677 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:53,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:06:53,683 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-10 16:06:53,689 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-10 16:06:53,689 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-10 16:06:53,695 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:06:53,695 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-10 16:06:53,700 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:06:53,700 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-10 16:06:53,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:06:53,706 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-10 16:06:53,711 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:06:53,711 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-10 16:06:53,717 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-10 16:06:53,717 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-10 16:06:53,722 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-10 16:06:53,722 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:06:53,728 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-10 16:06:53,728 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:53,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-10 16:06:53,735 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-10 16:06:53,740 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-10 16:06:53,740 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-10 16:06:53,745 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-10 16:06:53,746 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2026-03-10 16:06:53,751 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:06:53,751 | BASE_ELEMENT | INFO | Checking that input "Course title" is visible
2026-03-10 16:06:53,757 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:06:53,757 | INPUT | INFO | Checking that input "Course title" has a value ""
2026-03-10 16:06:53,763 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:06:53,763 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-03-10 16:06:53,769 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:06:53,769 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-03-10 16:06:53,774 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:06:53,774 | BASE_ELEMENT | INFO | Checking that textarea "Course description" is visible
2026-03-10 16:06:53,780 | TEXTAREA | INFO | Checking that textarea "Course description" has a value ""
2026-03-10 16:06:53,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:06:53,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:06:53,786 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-03-10 16:06:53,792 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:06:53,792 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-03-10 16:06:53,798 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:06:53,798 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-03-10 16:06:53,803 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:06:53,803 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-03-10 16:06:53,809 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-03-10 16:06:53,809 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:06:53,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-03-10 16:06:53,815 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-03-10 16:06:53,820 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-03-10 16:06:53,821 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-03-10 16:06:53,826 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-03-10 16:06:53,826 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
