2026-03-10 16:06:52,498 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:06:53,855 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:06:53,855 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-10 16:06:53,916 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:06:53,916 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-10 16:06:53,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:06:53,932 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-10 16:06:54,020 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:06:54,020 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-10 16:06:54,035 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-10 16:06:54,035 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:06:54,107 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-10 16:06:54,109 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:06:54,137 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:06:54,137 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-10 16:06:54,184 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:06:54,184 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-10 16:06:54,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:06:54,211 | INPUT | INFO | Fill input "Min score" to value "10"
