2026-03-10 16:28:49,853 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:28:51,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-10 16:28:51,351 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-10 16:28:51,406 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-10 16:28:51,414 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:28:51,414 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-10 16:28:51,431 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:28:51,431 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-10 16:28:51,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:28:51,444 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-10 16:28:51,460 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:28:51,460 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-10 16:28:51,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:28:51,467 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-10 16:28:51,473 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:28:51,473 | INPUT | INFO | Checking that input "Password" has a value ""
