2026-03-10 16:28:53,991 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:28:55,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:28:55,476 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-10 16:28:55,546 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:28:55,546 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-10 16:28:55,560 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:28:55,560 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-10 16:28:55,642 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:28:55,643 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-10 16:28:55,669 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-10 16:28:55,669 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:28:55,733 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-10 16:28:55,733 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:28:55,745 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:28:55,745 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-10 16:28:55,779 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:28:55,779 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-10 16:28:55,797 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:28:55,798 | INPUT | INFO | Fill input "Min score" to value "10"
