2026-03-10 16:28:50,568 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:28:51,613 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:28:51,614 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:28:51,679 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:28:51,679 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:28:51,701 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:28:51,701 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:28:51,724 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:28:51,725 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:28:52,052 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-03-10 16:28:53,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:28:53,525 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:28:53,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:28:53,553 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:28:53,562 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:28:53,562 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:28:53,568 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:28:53,568 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:28:53,575 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:28:53,575 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:53,581 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:53,582 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:53,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:53,587 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-10 16:28:53,593 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-10 16:28:53,593 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:28:53,601 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-10 16:28:53,601 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:53,609 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:53,609 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:53,615 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:53,615 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-10 16:28:53,621 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-10 16:28:53,621 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:28:53,626 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-10 16:28:53,626 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:53,632 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:53,632 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:53,637 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:53,637 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-10 16:28:53,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-10 16:28:53,643 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:28:53,649 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-03-10 16:28:53,649 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:53,654 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-03-10 16:28:53,654 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-10 16:28:53,660 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-03-10 16:28:53,660 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-03-10 16:28:53,665 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-03-10 16:28:53,665 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:53,671 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-03-10 16:28:53,671 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:53,677 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-03-10 16:28:53,677 | BASE_ELEMENT | INFO | Checking that text "Title" has text "There is no results"
2026-03-10 16:28:53,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-03-10 16:28:53,683 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-10 16:28:53,689 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-03-10 16:28:53,689 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Results from the load test pipeline will be displayed here"
