2026-03-10 16:28:43,701 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:28:45,449 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-10 16:28:45,450 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:28:45,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-10 16:28:45,539 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:28:45,637 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-10 16:28:45,638 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-10 16:28:45,739 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:28:45,740 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-10 16:28:45,758 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:28:45,758 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
