2026-03-10 16:28:51,657 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:28:52,757 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:28:52,757 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:28:52,821 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:28:52,821 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:28:52,864 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:28:52,864 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:28:52,886 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:28:52,887 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:28:53,211 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:28:54,749 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-10 16:28:54,749 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:28:54,791 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:28:54,795 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:54,809 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:28:54,809 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-10 16:28:54,822 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-10 16:28:54,822 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-10 16:28:54,833 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:28:54,834 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-10 16:28:54,844 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:28:54,844 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-10 16:28:54,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:28:54,853 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-10 16:28:54,863 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:28:54,864 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-10 16:28:54,878 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-10 16:28:54,879 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-10 16:28:54,889 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-10 16:28:54,889 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:54,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-10 16:28:54,908 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:54,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-10 16:28:54,927 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-10 16:28:54,937 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-10 16:28:54,937 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-10 16:28:54,944 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-10 16:28:54,944 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2026-03-10 16:28:54,951 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:28:54,951 | BASE_ELEMENT | INFO | Checking that input "Course title" is visible
2026-03-10 16:28:54,964 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:28:54,964 | INPUT | INFO | Checking that input "Course title" has a value ""
2026-03-10 16:28:54,974 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:28:54,974 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-03-10 16:28:54,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:28:54,982 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-03-10 16:28:54,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:28:54,994 | BASE_ELEMENT | INFO | Checking that textarea "Course description" is visible
2026-03-10 16:28:55,005 | TEXTAREA | INFO | Checking that textarea "Course description" has a value ""
2026-03-10 16:28:55,005 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:28:55,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:28:55,017 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-03-10 16:28:55,033 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:28:55,033 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-03-10 16:28:55,040 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:28:55,040 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-03-10 16:28:55,045 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:28:55,046 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-03-10 16:28:55,052 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-03-10 16:28:55,052 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:55,057 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-03-10 16:28:55,058 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-03-10 16:28:55,063 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-03-10 16:28:55,063 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-03-10 16:28:55,069 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-03-10 16:28:55,069 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:55,075 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-03-10 16:28:55,075 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:55,081 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-03-10 16:28:55,081 | BASE_ELEMENT | INFO | Checking that text "Title" has text "There is no exercises"
2026-03-10 16:28:55,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-03-10 16:28:55,086 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-10 16:28:55,092 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-03-10 16:28:55,093 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Click on "Create exercise" button to create new exercise"
2026-03-10 16:28:55,098 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-10 16:28:55,098 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-10 16:28:55,111 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-10 16:28:55,112 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-10 16:28:55,141 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:28:55,141 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-10 16:28:55,149 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:28:55,149 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-10 16:28:55,155 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:28:55,155 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-10 16:28:55,163 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:28:55,163 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
