2026-03-10 16:28:56,207 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-10 16:28:57,805 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:28:57,806 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:28:57,847 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:28:57,847 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:28:57,859 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:28:57,859 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:28:57,868 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:28:57,868 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:28:57,879 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:28:57,879 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:57,889 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:57,889 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:57,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:57,899 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-10 16:28:57,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-10 16:28:57,908 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:28:57,917 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-10 16:28:57,917 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:57,929 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:57,929 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:57,939 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:57,939 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-10 16:28:57,949 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-10 16:28:57,949 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:28:57,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-10 16:28:57,958 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:28:57,967 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:57,967 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:57,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-10 16:28:57,975 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-10 16:28:57,985 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-10 16:28:57,985 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:28:57,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:28:57,994 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-10 16:28:58,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:28:58,002 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-10 16:28:58,010 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-10 16:28:58,011 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:58,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-10 16:28:58,018 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-10 16:28:58,024 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-03-10 16:28:58,025 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-10 16:28:58,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-10 16:28:58,031 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:58,038 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-10 16:28:58,038 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-03-10 16:28:58,044 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-03-10 16:28:58,044 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-10 16:28:58,051 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-10 16:28:58,051 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:58,058 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-10 16:28:58,059 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2026-03-10 16:28:58,065 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2026-03-10 16:28:58,065 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-10 16:28:58,071 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-03-10 16:28:58,072 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:58,078 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-03-10 16:28:58,078 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2026-03-10 16:28:58,084 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2026-03-10 16:28:58,085 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
