2026-03-10 16:28:48,236 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:28:49,790 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:28:49,791 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:28:49,856 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:28:49,856 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:28:49,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:28:49,907 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:28:49,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:28:49,964 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:28:50,081 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:28:50,081 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-10 16:28:50,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:28:50,251 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
