2026-03-10 16:30:14,416 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:30:15,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:30:15,829 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-10 16:30:15,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:30:15,908 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-10 16:30:15,928 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:30:15,929 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-10 16:30:16,058 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:30:16,058 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-10 16:30:16,089 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-10 16:30:16,089 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:30:16,160 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-10 16:30:16,160 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:30:16,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:30:16,171 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-10 16:30:16,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:30:16,250 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-10 16:30:16,279 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:30:16,279 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-10 16:30:16,354 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:30:16,354 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-10 16:30:16,386 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-10 16:30:16,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-10 16:30:16,493 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:30:16,493 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-10 16:30:16,617 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-10 16:30:16,618 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-10 16:30:16,656 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:30:16,656 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:30:16,685 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:30:16,685 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-10 16:30:16,708 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:30:16,708 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-10 16:30:16,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:30:16,735 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-10 16:30:16,762 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:30:16,762 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-10 16:30:16,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:30:16,780 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-03-10 16:30:16,798 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:30:16,799 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-10 16:30:16,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:30:16,830 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-03-10 16:30:16,852 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2026-03-10 16:30:16,853 | BASE_ELEMENT | INFO | Clicking button "Menu"
2026-03-10 16:30:16,911 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-10 16:30:16,911 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2026-03-10 16:30:16,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-10 16:30:16,932 | BASE_ELEMENT | INFO | Clicking button "Edit"
2026-03-10 16:30:17,246 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:30:17,246 | INPUT | INFO | Fill input "Course title" to value "Playwright 2.0"
2026-03-10 16:30:17,290 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:30:17,290 | INPUT | INFO | Checking that input "Course title" has a value "Playwright 2.0"
2026-03-10 16:30:17,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:30:17,310 | INPUT | INFO | Fill input "Estimated time" to value "1 weeks"
2026-03-10 16:30:17,358 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:30:17,358 | INPUT | INFO | Checking that input "Estimated time" has a value "1 weeks"
2026-03-10 16:30:17,380 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright 2.0"
2026-03-10 16:30:17,380 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:30:17,443 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-10 16:30:17,443 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:30:17,457 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:30:17,457 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-10 16:30:17,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:30:17,515 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-10 16:30:17,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:30:17,530 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-10 16:30:17,574 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:30:17,574 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-10 16:30:17,590 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:30:17,590 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-10 16:30:17,681 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-10 16:30:17,681 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-10 16:30:17,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:30:17,694 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:30:17,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:30:17,702 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-10 16:30:17,715 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:30:17,715 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-10 16:30:17,726 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:30:17,726 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-10 16:30:17,744 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:30:17,744 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-10 16:30:17,756 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:30:17,757 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-10 16:30:17,767 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:30:17,767 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-10 16:30:17,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:30:17,777 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
