2026-03-10 16:30:10,666 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:30:11,688 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:30:11,688 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:30:11,741 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:30:11,741 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:30:11,775 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:30:11,775 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:30:11,802 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:30:11,802 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:30:12,514 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-03-10 16:30:13,952 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:30:13,952 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:30:13,981 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:30:13,981 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:30:13,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:30:13,990 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:30:13,997 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:30:13,997 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:30:14,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:30:14,006 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:30:14,014 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:30:14,014 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
