2026-03-10 16:30:12,478 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:30:13,508 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:30:13,508 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:30:13,548 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:30:13,549 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:30:13,565 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:30:13,565 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:30:13,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:30:13,581 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:30:13,827 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:30:15,380 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-10 16:30:15,380 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:30:15,406 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:30:15,407 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:30:15,414 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:30:15,414 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-10 16:30:15,421 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-10 16:30:15,421 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-10 16:30:15,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:30:15,428 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-10 16:30:15,433 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:30:15,433 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-10 16:30:15,439 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:30:15,439 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-10 16:30:15,446 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:30:15,446 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-10 16:30:15,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-10 16:30:15,453 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-10 16:30:15,460 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-10 16:30:15,460 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:30:15,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-10 16:30:15,468 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:30:15,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-10 16:30:15,476 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-10 16:30:15,481 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-10 16:30:15,481 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-10 16:30:15,487 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-10 16:30:15,488 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2026-03-10 16:30:15,493 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:30:15,493 | BASE_ELEMENT | INFO | Checking that input "Course title" is visible
2026-03-10 16:30:15,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:30:15,501 | INPUT | INFO | Checking that input "Course title" has a value ""
2026-03-10 16:30:15,506 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:30:15,507 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-03-10 16:30:15,512 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:30:15,512 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-03-10 16:30:15,518 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:30:15,518 | BASE_ELEMENT | INFO | Checking that textarea "Course description" is visible
2026-03-10 16:30:15,523 | TEXTAREA | INFO | Checking that textarea "Course description" has a value ""
2026-03-10 16:30:15,523 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:30:15,529 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:30:15,529 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-03-10 16:30:15,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:30:15,535 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-03-10 16:30:15,540 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:30:15,540 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
