2026-03-10 16:30:10,157 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:30:11,578 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:30:11,578 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:30:11,621 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:30:11,621 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:30:11,650 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:30:11,651 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:30:11,682 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:30:11,682 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:30:11,759 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:30:11,759 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-10 16:30:11,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:30:11,932 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
