2026-03-10 16:36:12,396 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:36:14,039 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-10 16:36:14,039 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:36:14,109 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-03-10 16:36:14,110 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-10 16:36:14,110 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:36:14,191 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-10 16:36:14,192 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-10 16:36:14,329 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:36:14,329 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-10 16:36:14,365 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:36:14,365 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
