2026-03-10 16:36:26,001 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-10 16:36:27,793 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:36:27,794 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:36:27,835 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:36:27,836 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:36:27,849 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:36:27,849 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:36:27,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:36:27,862 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:36:27,876 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:36:27,876 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:36:27,887 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:36:27,887 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:36:27,898 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:36:27,898 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-10 16:36:27,912 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-10 16:36:27,912 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:36:27,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-10 16:36:27,927 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
