2026-03-10 16:36:20,879 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:36:22,038 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:36:22,039 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:36:22,109 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:36:22,109 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:36:22,134 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:36:22,134 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:36:22,159 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:36:22,159 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:36:22,539 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:36:24,112 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-10 16:36:24,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:36:24,145 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:36:24,145 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:36:24,156 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:36:24,156 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-10 16:36:24,165 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-10 16:36:24,165 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-10 16:36:24,174 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:36:24,174 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-10 16:36:24,182 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:36:24,182 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-10 16:36:24,190 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:36:24,190 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-10 16:36:24,199 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:36:24,199 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
