2026-03-10 16:36:18,543 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:36:20,036 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:36:20,036 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:36:20,085 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:36:20,085 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:36:20,128 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:36:20,129 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:36:20,181 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:36:20,181 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:36:20,271 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:36:20,271 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-10 16:36:20,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-10 16:36:20,455 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
