2026-03-10 16:36:23,481 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:36:25,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:36:25,073 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-10 16:36:25,170 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:36:25,171 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-10 16:36:25,198 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:36:25,199 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-10 16:36:25,288 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:36:25,288 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-10 16:36:25,320 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-10 16:36:25,320 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:36:25,391 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-10 16:36:25,393 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:36:25,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:36:25,416 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-10 16:36:25,471 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:36:25,471 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-10 16:36:25,495 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:36:25,496 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-10 16:36:25,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:36:25,554 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-10 16:36:25,591 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-10 16:36:25,591 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-10 16:36:25,659 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:36:25,659 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-10 16:36:25,847 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-10 16:36:25,847 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-10 16:36:25,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:36:25,907 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:36:25,921 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:36:25,923 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-10 16:36:25,939 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:36:25,939 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-10 16:36:25,961 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:36:25,961 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-10 16:36:25,985 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:36:25,985 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-10 16:36:26,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:36:26,013 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-03-10 16:36:26,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:36:26,031 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-10 16:36:26,043 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:36:26,043 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-03-10 16:36:26,058 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
