2026-03-10 16:44:13,707 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-10 16:44:15,299 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:44:15,299 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-10 16:44:15,363 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-10 16:44:15,363 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-10 16:44:15,380 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:44:15,380 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-10 16:44:15,396 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-10 16:44:15,397 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-10 16:44:15,412 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-10 16:44:15,412 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:44:15,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:44:15,426 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:44:15,440 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-10 16:44:15,440 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-10 16:44:15,456 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-10 16:44:15,456 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-10 16:44:15,468 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-10 16:44:15,468 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-10 16:44:15,482 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-10 16:44:15,482 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
