2026-03-10 16:44:08,088 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:44:09,438 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-10 16:44:09,438 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-10 16:44:09,500 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-10 16:44:09,521 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:44:09,521 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-10 16:44:09,549 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:44:09,549 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-10 16:44:09,564 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:44:09,564 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-10 16:44:09,582 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:44:09,582 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-10 16:44:09,594 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:44:09,594 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-10 16:44:09,602 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:44:09,602 | INPUT | INFO | Checking that input "Password" has a value ""
