2026-03-10 16:44:04,837 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:44:06,216 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-10 16:44:06,217 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:44:06,317 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-10 16:44:06,318 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-10 16:44:06,361 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-10 16:44:06,361 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-10 16:44:06,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:44:06,477 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-10 16:44:06,502 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:44:06,502 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
