2026-03-10 16:44:12,293 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:44:13,744 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:44:13,745 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-10 16:44:13,818 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-10 16:44:13,818 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-10 16:44:13,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:44:13,834 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-10 16:44:13,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-10 16:44:13,908 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-10 16:44:13,923 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-10 16:44:13,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:44:13,957 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-10 16:44:13,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:44:13,965 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:44:13,965 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-10 16:44:13,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:44:14,000 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-10 16:44:14,013 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:44:14,014 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-10 16:44:14,055 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:44:14,056 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-10 16:44:14,067 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-10 16:44:14,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-10 16:44:14,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:44:14,091 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-10 16:44:14,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-10 16:44:14,210 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-10 16:44:14,243 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:44:14,243 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:44:14,252 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:44:14,252 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-10 16:44:14,260 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:44:14,260 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-10 16:44:14,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:44:14,273 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-10 16:44:14,283 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:44:14,283 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-10 16:44:14,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:44:14,295 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
