2026-03-10 16:44:09,789 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-10 16:44:10,717 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-10 16:44:10,717 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:44:10,759 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-10 16:44:10,759 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-10 16:44:10,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-10 16:44:10,777 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:44:10,794 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-10 16:44:10,794 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-10 16:44:11,074 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-10 16:44:12,489 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-10 16:44:12,489 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:44:12,514 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:44:12,514 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:44:12,521 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-10 16:44:12,521 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-10 16:44:12,527 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-10 16:44:12,528 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-10 16:44:12,534 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:44:12,534 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-10 16:44:12,540 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-10 16:44:12,540 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-10 16:44:12,546 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:44:12,546 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-10 16:44:12,551 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-10 16:44:12,552 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-10 16:44:12,557 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-10 16:44:12,557 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-10 16:44:12,563 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
