2026-03-10 16:44:02,567 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-10 16:44:04,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-10 16:44:04,073 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-10 16:44:04,182 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-10 16:44:04,182 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-10 16:44:04,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-10 16:44:04,258 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-10 16:44:04,394 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:44:04,395 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-10 16:44:04,421 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-10 16:44:04,422 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
