2026-03-04 12:06:45,366 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 12:06:46,751 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-04 12:06:46,751 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:06:46,864 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-04 12:06:46,864 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:06:46,894 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-04 12:06:46,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:06:46,991 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-04 12:06:46,991 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:06:47,009 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-04 12:06:47,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:06:47,076 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-04 12:06:47,076 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:06:47,107 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-04 12:06:47,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:06:47,160 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-04 12:06:47,160 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:06:47,186 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-04 12:06:47,186 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:06:47,246 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-04 12:06:47,247 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:06:47,263 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 12:06:47,263 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 12:06:47,315 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:06:47,315 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 12:06:47,491 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 12:06:47,491 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 12:06:47,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:06:47,525 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:47,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:06:47,535 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-04 12:06:47,544 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:06:47,545 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 12:06:47,557 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:06:47,557 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-04 12:06:47,568 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
