2026-03-04 12:06:47,961 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-04 12:06:49,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:06:49,547 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:06:49,586 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:06:49,586 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:06:49,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:06:49,597 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:06:49,610 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:06:49,610 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:06:49,624 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:06:49,624 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:49,635 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:49,635 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:49,645 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:49,646 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 12:06:49,658 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:06:49,658 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:06:49,668 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 12:06:49,668 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:49,678 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:49,678 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:49,691 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:49,691 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:06:49,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 12:06:49,702 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:06:49,712 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 12:06:49,712 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:49,724 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
