2026-03-04 12:06:43,567 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:06:44,580 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:06:44,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:06:44,618 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:06:44,618 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:06:44,635 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:06:44,635 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:06:44,651 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:06:44,651 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:06:44,911 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 12:06:46,405 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-04 12:06:46,405 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:06:46,430 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 12:06:46,430 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:46,437 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 12:06:46,437 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-04 12:06:46,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 12:06:46,444 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 12:06:46,450 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:06:46,450 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 12:06:46,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:06:46,455 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-04 12:06:46,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 12:06:46,461 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-04 12:06:46,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 12:06:46,467 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-04 12:06:46,473 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-04 12:06:46,473 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-04 12:06:46,478 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-04 12:06:46,479 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:46,485 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 12:06:46,485 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:46,491 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 12:06:46,491 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-04 12:06:46,496 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 12:06:46,496 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-04 12:06:46,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 12:06:46,501 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2026-03-04 12:06:46,506 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:06:46,507 | BASE_ELEMENT | INFO | Checking that input "Course title" is visible
2026-03-04 12:06:46,513 | INPUT | INFO | Checking that input "Course title" has a value ""
2026-03-04 12:06:46,513 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:06:46,518 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:06:46,518 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-03-04 12:06:46,524 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-03-04 12:06:46,524 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:06:46,529 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:06:46,529 | BASE_ELEMENT | INFO | Checking that textarea "Course description" is visible
2026-03-04 12:06:46,536 | TEXTAREA | INFO | Checking that textarea "Course description" has a value ""
2026-03-04 12:06:46,536 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:06:46,542 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:06:46,542 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-03-04 12:06:46,547 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-03-04 12:06:46,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:06:46,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:06:46,553 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-03-04 12:06:46,558 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-03-04 12:06:46,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:06:46,564 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-03-04 12:06:46,564 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:46,569 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-03-04 12:06:46,570 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-03-04 12:06:46,575 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-03-04 12:06:46,575 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-03-04 12:06:46,581 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-03-04 12:06:46,581 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:46,586 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-03-04 12:06:46,586 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:46,591 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-03-04 12:06:46,591 | BASE_ELEMENT | INFO | Checking that text "Title" has text "There is no exercises"
2026-03-04 12:06:46,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-03-04 12:06:46,597 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-04 12:06:46,603 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-03-04 12:06:46,603 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Click on "Create exercise" button to create new exercise"
2026-03-04 12:06:46,608 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 12:06:46,608 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 12:06:46,621 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 12:06:46,622 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 12:06:46,651 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:06:46,651 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 12:06:46,658 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
