2026-03-04 12:06:41,331 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:06:42,763 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:06:42,764 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:06:42,814 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:06:42,814 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:06:42,850 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:06:42,851 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:06:42,897 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:06:42,897 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:06:42,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:06:42,989 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 12:06:43,170 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:06:43,170 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
