2026-03-04 12:06:35,622 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:06:37,258 | INPUT | INFO | Fill input "Email" to value "  "
2026-03-04 12:06:37,259 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:06:37,362 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:06:37,362 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:06:37,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:06:37,461 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:06:37,575 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:06:37,575 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:06:37,602 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:06:37,603 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
