2026-03-04 12:06:39,830 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:06:41,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-04 12:06:41,386 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-04 12:06:41,475 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-04 12:06:41,502 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:06:41,502 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-04 12:06:41,524 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-04 12:06:41,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:06:41,540 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:06:41,540 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-04 12:06:41,551 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-04 12:06:41,551 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:06:41,563 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:06:41,563 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-04 12:06:41,572 | INPUT | INFO | Checking that input "Password" has a value ""
2026-03-04 12:06:41,572 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
