2026-03-04 12:06:41,794 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:06:42,832 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:06:42,832 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:06:42,907 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:06:42,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:06:42,934 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:06:42,934 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:06:42,964 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:06:42,964 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:06:43,441 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-03-04 12:06:44,880 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:06:44,880 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:06:44,910 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:06:44,910 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:06:44,922 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:06:44,922 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:06:44,930 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:06:44,930 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:06:44,936 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:06:44,936 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:44,944 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:44,944 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
