2026-03-04 12:06:37,897 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:06:39,267 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:06:39,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:06:39,317 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-04 12:06:39,317 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:06:39,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:06:39,348 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:06:39,418 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:06:39,418 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:06:39,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:06:39,444 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
