2026-03-04 12:06:38,049 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:06:39,443 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:06:39,443 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:06:39,526 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:06:39,526 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:06:39,595 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:06:39,595 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:06:39,659 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:06:39,659 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:06:39,773 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:06:39,773 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 12:06:40,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:06:40,001 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-04 12:06:40,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:06:40,027 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:06:40,047 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:06:40,047 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:06:40,074 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:06:40,074 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:06:40,104 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:06:40,105 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:06:40,122 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:06:40,123 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:06:40,139 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:40,139 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:40,155 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:06:40,155 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 12:06:40,181 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:06:40,182 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:06:40,197 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
