"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1865","Registration with correct email, username and password","Authentication","Wed Mar 04 12:06:41 UTC 2026","passed","Wed Mar 04 12:06:43 UTC 2026","Registration","LMS system","",""
"","2005","User login with wrong email or password","LMS system","Wed Mar 04 12:06:35 UTC 2026","passed","Wed Mar 04 12:06:37 UTC 2026","Authorization","Authentication","",""
"","1751","Navigation from login page to registration page","LMS system","Wed Mar 04 12:06:39 UTC 2026","passed","Wed Mar 04 12:06:41 UTC 2026","Authorization","Authentication","",""
"","1880","User login with wrong email or password","LMS system","Wed Mar 04 12:06:35 UTC 2026","passed","Wed Mar 04 12:06:37 UTC 2026","Authorization","Authentication","",""
"","2953","User login with correct email and password","LMS system","Wed Mar 04 12:06:38 UTC 2026","passed","Wed Mar 04 12:06:41 UTC 2026","Authorization","Authentication","",""
"","1654","Check displaying of empty courses list","Courses","Wed Mar 04 12:06:43 UTC 2026","passed","Wed Mar 04 12:06:45 UTC 2026","Courses","LMS system","",""
"","2579","Create course","Courses","Wed Mar 04 12:06:44 UTC 2026","passed","Wed Mar 04 12:06:47 UTC 2026","Courses","LMS system","",""
"","1572","User login with wrong email or password","LMS system","Wed Mar 04 12:06:37 UTC 2026","passed","Wed Mar 04 12:06:39 UTC 2026","Authorization","Authentication","",""
"","3110","Edit course","Courses","Wed Mar 04 12:06:45 UTC 2026","passed","Wed Mar 04 12:06:48 UTC 2026","Courses","LMS system","",""
"","1892","Check displaying of dashboard page","Dashboard","Wed Mar 04 12:06:47 UTC 2026","passed","Wed Mar 04 12:06:49 UTC 2026","Dashboard","LMS system","",""
