2026-03-04 12:24:11,027 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:24:12,574 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:24:12,574 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:24:12,643 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:24:12,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:24:12,731 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:24:12,731 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:24:12,881 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:24:12,882 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:24:12,904 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:24:12,904 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
