2026-03-04 12:24:13,301 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:24:14,720 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:24:14,720 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:24:14,767 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-04 12:24:14,767 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:24:14,810 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:24:14,810 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:24:14,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:24:14,918 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:24:14,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:24:14,955 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
