2026-03-04 12:24:18,687 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:24:19,668 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:24:19,668 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:24:19,770 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:24:19,771 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:24:19,794 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:24:19,794 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:24:19,818 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:24:19,818 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:24:20,144 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 12:24:21,616 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-04 12:24:21,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:24:21,659 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 12:24:21,660 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:21,671 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 12:24:21,671 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-04 12:24:21,680 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 12:24:21,680 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 12:24:21,687 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:24:21,687 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 12:24:21,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:24:21,694 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-04 12:24:21,700 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 12:24:21,700 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-04 12:24:21,705 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 12:24:21,706 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-04 12:24:21,711 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-04 12:24:21,712 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-04 12:24:21,718 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-04 12:24:21,718 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:21,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 12:24:21,727 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:21,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 12:24:21,735 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-04 12:24:21,744 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 12:24:21,744 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-04 12:24:21,752 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 12:24:21,752 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2026-03-04 12:24:21,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:24:21,760 | BASE_ELEMENT | INFO | Checking that input "Course title" is visible
2026-03-04 12:24:21,770 | INPUT | INFO | Checking that input "Course title" has a value ""
2026-03-04 12:24:21,770 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:24:21,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
