2026-03-04 12:24:13,312 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:24:14,752 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:24:14,752 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:24:14,860 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:24:14,860 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:24:14,925 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:24:14,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:24:14,988 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:24:14,988 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:24:15,119 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:24:15,120 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 12:24:15,340 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:24:15,340 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-04 12:24:15,356 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:24:15,356 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:24:15,389 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:24:15,389 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:24:15,417 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:24:15,417 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:24:15,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:24:15,432 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:24:15,462 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:24:15,463 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:15,503 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:15,503 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:15,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:15,532 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 12:24:15,552 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:24:15,553 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:24:15,586 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 12:24:15,586 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:15,607 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:15,607 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:15,622 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:15,622 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:24:15,636 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 12:24:15,636 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:24:15,648 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 12:24:15,648 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:15,676 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:15,677 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:15,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:15,703 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 12:24:15,723 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 12:24:15,723 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:24:15,743 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:24:15,743 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 12:24:15,840 | BASE_COMPONENT | INFO | Checking current url with expected url "re.compile('.*/#/auth/login')"
2026-03-04 12:24:15,858 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:24:15,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:24:15,896 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:24:15,896 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:24:15,952 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:24:15,953 | BASE_ELEMENT | INFO | Clicking button "Login"
