2026-03-04 12:24:11,029 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:24:12,559 | INPUT | INFO | Fill input "Email" to value "  "
2026-03-04 12:24:12,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:24:12,616 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:24:12,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:24:12,673 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:24:12,673 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:24:12,826 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:24:12,826 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:24:12,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:24:12,854 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
