2026-03-04 12:24:23,630 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-04 12:24:25,322 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:24:25,323 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:24:25,369 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:24:25,369 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:24:25,384 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:24:25,384 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:24:25,394 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:24:25,394 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:24:25,405 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:24:25,405 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:25,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:25,416 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:25,426 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 12:24:25,434 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:24:25,434 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:24:25,443 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 12:24:25,443 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:25,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:25,454 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,464 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:25,465 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:24:25,474 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 12:24:25,474 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:24:25,484 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 12:24:25,485 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:24:25,493 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:25,493 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:24:25,501 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 12:24:25,509 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 12:24:25,509 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:24:25,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:24:25,517 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" is visible
2026-03-04 12:24:25,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-03-04 12:24:25,525 | BASE_ELEMENT | INFO | Checking that text "Dashboard title" has text "Dashboard"
2026-03-04 12:24:25,534 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-04 12:24:25,534 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,542 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-03-04 12:24:25,542 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:24:25,549 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-03-04 12:24:25,549 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-04 12:24:25,555 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-04 12:24:25,556 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,562 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-03-04 12:24:25,562 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-03-04 12:24:25,568 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-03-04 12:24:25,568 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-04 12:24:25,575 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-04 12:24:25,575 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,581 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-03-04 12:24:25,581 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2026-03-04 12:24:25,588 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2026-03-04 12:24:25,588 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-03-04 12:24:25,594 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-03-04 12:24:25,594 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:25,600 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-03-04 12:24:25,600 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2026-03-04 12:24:25,606 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2026-03-04 12:24:25,606 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
