2026-03-04 12:24:21,528 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 12:24:22,491 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-04 12:24:22,491 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:24:22,810 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-04 12:24:22,810 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:24:22,835 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-04 12:24:22,835 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:24:22,910 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-04 12:24:22,910 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:24:22,941 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-04 12:24:22,941 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:24:22,990 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-04 12:24:22,990 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:24:23,005 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-04 12:24:23,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:24:23,052 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-04 12:24:23,052 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:24:23,069 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-04 12:24:23,069 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:24:23,124 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-04 12:24:23,125 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:24:23,154 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 12:24:23,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 12:24:23,224 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:24:23,225 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 12:24:23,433 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 12:24:23,433 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 12:24:23,482 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:24:23,482 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:23,495 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:24:23,497 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-03-04 12:24:23,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:24:23,518 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 12:24:23,531 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:24:23,531 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-03-04 12:24:23,542 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 12:24:23,542 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 12:24:23,554 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 12:24:23,555 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-03-04 12:24:23,576 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 12:24:23,576 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 12:24:23,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 12:24:23,598 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-03-04 12:24:23,614 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2026-03-04 12:24:23,614 | BASE_ELEMENT | INFO | Clicking button "Menu"
2026-03-04 12:24:23,697 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-04 12:24:23,697 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2026-03-04 12:24:23,737 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-03-04 12:24:23,737 | BASE_ELEMENT | INFO | Clicking button "Edit"
2026-03-04 12:24:23,927 | INPUT | INFO | Fill input "Course title" to value "Playwright 2.0"
2026-03-04 12:24:23,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:24:23,955 | INPUT | INFO | Checking that input "Course title" has a value "Playwright 2.0"
2026-03-04 12:24:23,955 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:24:23,966 | INPUT | INFO | Fill input "Estimated time" to value "1 weeks"
2026-03-04 12:24:23,966 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:24:24,024 | INPUT | INFO | Checking that input "Estimated time" has a value "1 weeks"
2026-03-04 12:24:24,024 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:24:24,035 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright 2.0"
2026-03-04 12:24:24,035 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:24:24,070 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-04 12:24:24,071 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:24:24,079 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-04 12:24:24,080 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:24:24,131 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-04 12:24:24,132 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:24:24,150 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-04 12:24:24,151 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:24:24,201 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-04 12:24:24,202 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:24:24,213 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:24:24,213 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 12:24:24,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 12:24:24,284 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 12:24:24,299 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:24:24,300 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:24:24,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:24:24,308 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-04 12:24:24,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:24:24,318 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 12:24:24,329 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:24:24,329 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-04 12:24:24,336 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 12:24:24,336 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 12:24:24,344 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 12:24:24,344 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-04 12:24:24,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 12:24:24,351 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 12:24:24,358 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 12:24:24,359 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
