2026-03-04 12:48:56,328 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:48:57,324 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:48:57,324 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:48:57,371 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:48:57,371 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:48:57,390 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:48:57,390 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:48:57,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:48:57,410 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:48:57,679 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-03-04 12:48:59,049 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:48:59,049 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:48:59,081 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:48:59,082 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:48:59,089 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:48:59,089 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:48:59,096 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:48:59,096 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:48:59,103 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:48:59,103 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:48:59,117 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:48:59,120 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:48:59,130 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:48:59,131 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 12:48:59,140 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:48:59,140 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:48:59,169 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 12:48:59,170 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:48:59,186 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:48:59,187 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:48:59,200 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:48:59,200 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:48:59,209 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 12:48:59,209 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:48:59,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 12:48:59,218 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:48:59,225 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:48:59,225 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:48:59,233 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:48:59,233 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 12:48:59,241 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 12:48:59,241 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:48:59,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-03-04 12:48:59,251 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:48:59,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-03-04 12:48:59,258 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:48:59,266 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-03-04 12:48:59,266 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-03-04 12:48:59,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-03-04 12:48:59,273 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
